"Source1","Source2"
"Kuda_Dutuwewa-AN0150-11G/266-23-ODU-1(RTNRF-1)","Irattaperiyakulama_Dialog-VA0072-11G/266-23-ODU-1(RTNRF-1)"
,
"Inuwil-JA0043-23G/1038-23-ODU-1(RTNRF-1)","Kokkuwil-JA0014-23G/1038-23-ODU-1(RTNRF-1)"
,
"Inuwil-JA0043-23G/1038-25-ODU-1(RTNRF-1)","Kokkuwil-JA0014-23G/1038-25-ODU-1(RTNRF-1)"
,
"Mahabulankulama-AN0036-13G/881-23-ODU-1(RTNRF-1)","Elayapattuwa-AN0133-13G/881-23-ODU-1(RTNRF-1)"
,
"Thorana_Jn-GM0045-23G/1343-23-ODU-1(RTNRF-1)","Iriyawetiya-GM0123-23G/1343-23-ODU-1(RTNRF-1)"
,
"Thorana_Jn-GM0045-23G/1343-24-ODU-1(RTNRF-1)","Iriyawetiya-GM0123-23G/1343-24-ODU-1(RTNRF-1)"
,
"Kathirasen_St-CM0624-26G/1251-23-ODU-1(RTNRF-1)","Pettah-CM0161-26G/1251-23-ODU-1(RTNRF-1)"
,
"Palliwasalthurai-PU0073-15G/1011 IP-23-ODU-1(RTNRF-1)","Thalawilla-PU0022-15G/1011 IP-23-ODU-1(RTNRF-1)"
,
"Kalundagama_Mobitel-AN0148-18G/1869-23-ODU-1(RTNRF-1)","Thambuthtegama Dialog-AN0011-18G/1869-23-ODU-1(RTNRF-1)"
,
"Ja_Ela_Town_East-GM0495-23G/1436-23-ODU-1(RTNRF-1)","Ja_Ela-GM0018-23G/1436-23-ODU-1(RTNRF-1)"
,
"Ja_Ela_Town_East-GM0495-23G/1436-24-ODU-1(RTNRF-1)","Ja_Ela-GM0018-23G/1436-24-ODU-1(RTNRF-1)"
,
"Jaffna_Town-JA0037-26G/793-23-ODU-1(RTNRF-1)","Jaffna_SLT-JA0003-26G/793-23-ODU-1(RTNRF-1)"
,
"Jaffna_Town-JA0037-26G/793-24-ODU-1(RTNRF-1)","Jaffna_SLT-JA0003-26G/793-24-ODU-1(RTNRF-1)"
,
"Dekethipothana-AN0085-15G/1003-23-ODU-1(RTNRF-1)","Puliyankadawala-AN0084-15G/1003-23-ODU-1(RTNRF-1)"
,
"Bodhiraja_Mawatha-CM0284-26G/779-23-ODU-1(RTNRF-1)","New_Kettaram_Rd_East-CM1053-26G/779-23-ODU-1(RTNRF-1)"
,
"Bodhiraja_Mawatha-CM0284-26G/779-24-ODU-1(RTNRF-1)","New_Kettaram_Rd_East-CM1053-26G/779-24-ODU-1(RTNRF-1)"
,
"Bloomfield-CM0185-23G/902-23-ODU-1(RTNRF-1)","Thursten-CM0174-23G/902-23-ODU-1(RTNRF-1)"
,
"Bloomfield-CM0185-23G/902-24-ODU-1(RTNRF-1)","Thursten-CM0174-23G/902-24-ODU-1(RTNRF-1)"
,
"Maharachchimulla-KU0206-13G/475-23-ODU-1(RTNRF-1)","Giriulla-KU0019-13G/475-23-ODU-1(RTNRF-1)"
,
"Maharachchimulla-KU0206-13G/475-24-ODU-1(RTNRF-1)","Giriulla-KU0019-13G/475-24-ODU-1(RTNRF-1)"
,
"Eluwankulama_Hutch-PU0113-7G/721-23-ODU-1(RTNRF-1)","Kala_Oya-AN0037-7G/721-23-ODU-1(RTNRF-1)"
,
"Eluwankulama_Hutch-PU0113-7G/721-24-ODU-1(RTNRF-1)","Kala_Oya-AN0037-7G/721-24-ODU-1(RTNRF-1)"
,
"Kandana-GM0020-18G/1551-23-ODU-1(RTNRF-1)","Nugape_West-GM0513-18G/1551-23-ODU-1(RTNRF-1)"
,
"Colombo_7_NCC_Suntel-CM0131-23G/1277-23-ODU-1(RTNRF-1)","Horton_Wijerama-CM0332-23G/1277-23-ODU-1(RTNRF-1)"
,
"Colombo_7_NCC_Suntel-CM0131-23G/1277-24-ODU-1(RTNRF-1)","Horton_Wijerama-CM0332-23G/1277-24-ODU-1(RTNRF-1)"
,
"Anuradhapura_Bustand-AN0022-15G/706-23-ODU-1(RTNRF-1)","Anuradhapura_MTT-AN0013-15G/706-23-ODU-1(RTNRF-1)"
,
"Anuradhapura_Bustand-AN0022-15G/706-24-ODU-1(RTNRF-1)","Anuradhapura_MTT-AN0013-15G/706-24-ODU-1(RTNRF-1)"
,
"Pesalai-MA0005-13G/787-23-ODU-1(RTNRF-1)","Thalaimannar-MA0002-13G/787-23-ODU-1(RTNRF-1)"
,
"Mahailluppallamma-AN0044-18G/1758-23-ODU-1(RTNRF-1)","VEDENIGAMA-AN0211-18G/1758-23-ODU-1(RTNRF-1)"
,
"Chempianpattu-JA0139-18G/1481-23-ODU-1(RTNRF-1)","Elephant_Pass_DTL-KI0001-18G/1481-23-ODU-1(RTNRF-1)"
,
"Chempianpattu-JA0139-18G/1481-24-ODU-1(RTNRF-1)","Elephant_Pass_DTL-KI0001-18G/1481-24-ODU-1(RTNRF-1)"
,
"Piriyamaduwa-AN0069-13G/840-23-ODU-1(RTNRF-1)","Galenbindunuwewa_SLT-AN0005-13G/840-23-ODU-1(RTNRF-1)"
,
"Kirulapana-CM0046-26G/913-23-ODU-1(RTNRF-1)","Pamankada-CM0084-26G/913-23-ODU-1(RTNRF-1)"
,
"Kirulapana-CM0046-26G/913-24-ODU-1(RTNRF-1)","Pamankada-CM0084-26G/913-24-ODU-1(RTNRF-1)"
,
"Kirulapana-CM0046-26G/913-25-ODU-1(RTNRF-1)","Pamankada-CM0084-26G/913-25-ODU-1(RTNRF-1)"
,
"Kirulapana-CM0046-26G/913-26-ODU-1(RTNRF-1)","Pamankada-CM0084-26G/913-26-ODU-1(RTNRF-1)"
,
"Pasyala-GM0090-15G/704-23-ODU-1(RTNRF-1)","Muddaragama-GM0265-15G/704-23-ODU-1(RTNRF-1)"
,
"Pasyala-GM0090-15G/704-24-ODU-1(RTNRF-1)","Muddaragama-GM0265-15G/704-24-ODU-1(RTNRF-1)"
,
"Manipai_South-JA0172-23G/1711-23-ODU-1(RTNRF-1)","Manipai-JA0005-23G/1711-23-ODU-1(RTNRF-1)"
,
"Manipai_South-JA0172-23G/1711-24-ODU-1(RTNRF-1)","Manipai-JA0005-23G/1711-24-ODU-1(RTNRF-1)"
,
"Bingiriya_South-PU0028-18G/1432-23-ODU-1(RTNRF-1)","Silva_Town_Madampe-PU0097-18G/1432-23-ODU-1(RTNRF-1)"
,
"Bingiriya_South-PU0028-18G/1432-24-ODU-1(RTNRF-1)","Silva_Town_Madampe-PU0097-18G/1432-24-ODU-1(RTNRF-1)"
,
"Ethungahakotuwa-KU0104-15G/798-23-ODU-1(RTNRF-1)","Dummalasuriya-KU0002-15G/798-23-ODU-1(RTNRF-1)"
,
"MURIYANKADAWALA-AN0018-15G/1004-23-ODU-1(RTNRF-1)","MARADANKADAWALA-AN0010-15G/1004-23-ODU-1(RTNRF-1)"
,
"Nochchiyagama_Town-AN0045-18G/1633-23-ODU-1(RTNRF-1)","Pahala_Halmillewa-AN0056-18G/1633-23-ODU-1(RTNRF-1)"
,
