"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"CM0034","CM0115","Jubilee_Post-CM0034-23G/722-23-ODU-1(RTNRF-1)","Udahamulla-CM0115-23G/722-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.87621,6.86741,79.9001,79.9103,434660,6.89236133490654E-05,6.9,79.867,557,2216
"CM0361","CM0512","Athurugiriya_South-CM0361-26G/859-23-ODU-1(RTNRF-1)","Rukmalgama-CM0512-26G/859-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.866111,6.85787,79.996389,79.9828,434670,0.000469614271082,6.822,79.886,558,2217
"CM0361","CM0512","Athurugiriya_South-CM0361-26G/859-24-ODU-1(RTNRF-1)","Rukmalgama-CM0512-26G/859-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.866111,6.85787,79.996389,79.9828,434670,0.000469614271082,6.822,79.886,559,2218
"GM0090","GM0175","Pasyala-GM0090-18G/1601-23-ODU-1(RTNRF-1)","Kaleliya_Mobitel-GM0175-18G/1601-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.168611,7.196694,80.119722,80.107278,434860,0.000806874769099,6.683,80.4,560,2219
"GM0090","GM0175","Pasyala-GM0090-18G/1601-24-ODU-1(RTNRF-1)","Kaleliya_Mobitel-GM0175-18G/1601-24-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.168611,7.196694,80.119722,80.107278,434860,0.000806874769099,6.683,80.4,561,2220
"KU0303","KU0015","Pannala Hutch-KU0303-15G/1000-23-ODU-1(RTNRF-1)","Sandalankawa DBN-KU0015-15G/1000-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.329722,7.30633,80.025,79.9528,434410,0.001012375709825,7.467,80.367,562,2221
"KE0240","KU0014","Walakumbura-KE0240-18G/1812-23-ODU-1(RTNRF-1)","Polgahawela-KU0014-18G/1812-23-ODU-1(RTNRF-1)","Kegalle","Kurunegala",7.312717,7.33758,80.2726,80.2893,434410,0.000114342357075,7.467,80.367,563,2222
"CM1021","CM0151","Liberty_South_Relocation-CM1021-26G/1271-23-ODU-1(RTNRF-1)","Liberty Plaza-CM0151-26G/1271-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.909722,6.911667,79.853056,79.851111,434660,5.26667015120179E-05,6.9,79.867,564,2223
"KU0043","KU0337","Maspotha-KU0043-18G/1827-23-ODU-1(RTNRF-1)","Kuda Galgamuwa South Mobitel-KU0337-18G/1827-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.53831,7.552778,80.3141,80.340833,434410,0.00228787825361,7.467,80.367,565,2224
"PO0060","PO0095","Polonnaruwa_DBN-PO0060-13G/875-23-ODU-1(RTNRF-1)","Nuwaragala-PO0095-13G/875-23-ODU-1(RTNRF-1)","Polonnaruwa","Polonnaruwa",7.92444,7.80206,81.0064,81.0124,434790,3.1426593253634E-05,6.983,81.05,566,2225
