Site ID,Suntel ID,Site Name,Site Address,District,Province,Latitude-x,Longitude-x,Latitude,Longitude
MO0072,,Waragama Dialog,"Veherayaya, Kandaudapanguwa, Kotagoda, Siyambalanduwa",Monaragala,Uva,7-4-16,81-33-43,7.0711,81.5619
GM0178,,Waragoda Dialog,"No-246/A, waragoda Road, Kelaniya",Gampaha,Western,6-57-33,79-54-21,6.95908,79.9057
KL0098,,Warakagoda Dialog,"Galahen Kanda, Warakagoda",Kaluthara,Western,6-37-22,80-6-20,6.62278,80.1056
MT0044,,Warakamure Airtel,"Elwela, matale",Matale,Central,7-26-14,80-37-39,7.4371,80.6276
KE0106,WAR/001,Warakapola Hutch,"Hutch Tower, Warakapola.",Kegalle,Sabaragamuwa,7-13-35,80-12-35,7.22649,80.20985
KE0006,,Warakapola Mobitel,"Ambagalakande, Mobitel Tower, Warakapola.",Kegalle,Sabaragamuwa,7-13-37,80-12-34,7.22681,80.2095
KE0066,,Warakapola South Dialog,"""Sandakelum"" Kukulpane, Dorawaka.",Kegalle,Sabaragamuwa,7-11-53,80-12-57,7.19792,80.2158
KE0026,,Warakapola Town Dialog,"No-09, Main Street, Warakapola",Kegalle,Sabaragamuwa,7-13-38,80-11-55,7.2271,80.1986
GM0249,,Warapalana Mobitei,Mobitel site Warapalana.,Gampaha,Western,7-4-31,80-6-8.1,7.075278,80.10225
MT0036,,Warapitiya Dialog,"Bandarapola Watte, Kiula, Matale",Matale,Central,7-28-28,80-38-43,7.47431,80.6454
KU0232,,Warawewa Etisalat,"Etisalat Tower, Yaya 6, Abayapura.",Kurunegala,NorthWestern,8-8-1,80-6-48,8.133611,80.113333
CM0118,,Ward Place Dialog,"V.S.T. Bldg, No.75, Ward Place, Col-07",Colombo,Western,6-54-57,79-52-21,6.915833,79.8725
CM0419,,Ward Place West Dialog,"No-24, Ward Place, Colombo-07.",Colombo,Western,6-54-59,79-52-2,6.916389,79.867222
KU0299,WRP/001,Wariyapola DBN,"Kadiragala, Rajamaha, Viharaya, Pumgala, Wariyapola",Kurunegala,NorthWestern,7-37-35,80-15-14,7.626389,80.253889
KU0112,,Wariyapola Dialog,"Wariyapola Rice Mill, Piyumgalla Road, Wariyapola.",Kurunegala,NorthWestern,7-37-15,80-14-47,7.620833,80.246389
KU0016,,Wariyapola SLT,"SLT Tower, Wariyapola",Kurunegala,NorthWestern,7-36-59,80-15-14,7.616481,80.253928
MO0056,,Warunagama Lankabell,"No.41, Dithara Road, Warunagama, Wellawaya.",Monaragala,Uva,6-43-58,81-8-1,6.73267,81.1335
CM0541,,Wasala Road Dialog,"93, Wasala Road, Colombo-13.",Colombo,Western,6-57-5,79-51-54,6.9514,79.8651
CM5007,,Wasala Road Lamp,"ESLL Lamp Pole Site, In front of Wasala Road, Marine Drive, Dehiwala",Colombo,Western,6-51-46.25,79-51-35.9,6.862847,79.859972
KL0056,,Waskaduwa North Hutch,"385, Karadagaha Road, Pothupitiya South, Wadduwa.",Kaluthara,Western,6-38-13,79-56-37,6.63706,79.9436
