cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength
CM0015,CM0115,Delkanda_RT-CM0015-23G/1301-24-ODU-1(RTNRF-1),Udahamulla-CM0115-23G/1301-24-ODU-1(RTNRF-1),Colombo,Colombo,6.868611,6.86741,79.8975,79.9103,Ibattara 2,4.764513553192781,6.908296,79.91918,457,2116,1.4209535238935462
GM0014,GM0169,Gonawala-GM0014-23G/693-23-ODU-1(RTNRF-1),Gonawala_South-GM0169-23G/693-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95484,6.94624,79.9481,79.9386,Ibattara 2,5.3814645373884105,6.908296,79.91918,279,1938,1.416566813763784
CM0125,CM0344,Attidiya-CM0125-23G/716-24-ODU-1(RTNRF-1),Nedimala_South-CM0344-23G/716-24-ODU-1(Replaced on  04/12/2014),Colombo,Colombo,6.838611,6.84441,79.883889,79.8761,Ibattara 2,8.561980328735201,6.908296,79.91918,467,2126,1.0735402187675607
CM1022,CM0115,Nugegoda South Dialog-CM1022-23G/1669-23-ODU-1(RTNRF-1),Udahamulla Dialog-CM0115-23G/1669-23-ODU-1(RTNRF-1),Colombo,Colombo,6.867778,6.86741,79.8925,79.9103,Ibattara 2,4.911486523821101,6.908296,79.91918,1599,3258,1.9677850746478838
GM0191,GM0009,Kurunduwatta-GM0191-23G/899-23-ODU-1(RTNRF-1),Enderamulla-GM0009-23G/899-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98296,6.99205,79.8956,79.9128,Ibattara 2,8.914809859284835,6.908296,79.91918,366,2025,2.150052803720143
CM0127,CM1446,BATTARMULLA-CM0127-23G/1750-HY-24-ODU-1(RTNRF-1),PIPE_ ROAD-CM1446-23G/1750-HY-24-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.909833,79.9149,79.934278,Ibattara 2,0.5989976114923099,6.908296,79.91918,84,1743,2.1816516546732787
CM0178,CM0938,Wellawatta_CENTRAL-CM0178-26G/1407-23-ODU-1(RTNRF-1),Royal_Hospital-CM0938-26G/1407-23-ODU-1(RTNRF-1),Colombo,Colombo,6.875,6.876111,79.860833,79.863889,Ibattara 2,7.248737853104816,6.908296,79.91918,1612,3271,0.3594150690586776
CM0565,CM0079,Poorwarama-CM0565-26G/1305-25-ODU-1(RTNRF-1),Nugegoda_North-CM0079-26G/1305-25-ODU-1(RTNRF-1),Colombo,Colombo,6.877778,6.880833,79.882222,79.890833,Ibattara 2,4.827212382501013,6.908296,79.91918,1621,3280,1.0099056561954818
GM0191,GM0009,Kurunduwatta-GM0191-23G/899-24-ODU-1(RTNRF-1),Enderamulla-GM0009-23G/899-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98296,6.99205,79.8956,79.9128,Ibattara 2,8.914809859284835,6.908296,79.91918,367,2026,2.150052803720143
CM0588,CM0275,Hewagama-CM0588-23G/683-24-ODU-1(RTNRF-1),Welivita-CM0275-23G/683-24-ODU-1(RTNRF-1),Colombo,Colombo,6.931667,6.92893,79.974167,79.9662,Ibattara 2,6.139389607812849,6.908296,79.91918,1205,2864,0.9310225321572233
CM1032,CM0173,Devos_Lane-CM1032-26G/1228-23-ODU-1(RTNRF-1),Thummulla-CM0173-26G/1228-23-ODU-1(RTNRF-1),Colombo,Colombo,6.892222,6.894722,79.858333,79.861111,Ibattara 2,6.7726133862769355,6.908296,79.91918,927,2586,0.4131622405230082
CM0311,CM0114,Jawatta_Garden-CM0311-26G/717-23-ODU-1(RTNRF-1),Torinton-CM0114-26G/717-23-ODU-1(RTNRF-1),Colombo,Colombo,6.899167,6.899444,79.864444,79.871667,Ibattara 2,5.736975632707922,6.908296,79.91918,1470,3129,0.7988644023766738
CM0007,CM0431,Boralesgamuwa-CM0007-26G/1170-23-ODU-1(RTNRF-1),Wattegedara-CM0431-26G/1170-23-ODU-1(RTNRF-1),Colombo,Colombo,6.84164,6.84736,79.9095,79.9169,Ibattara 2,7.086102613906139,6.908296,79.91918,870,2529,1.0340041134416107
CM0232,CM0154,Dhammarama_Rd-CM0232-26G/1283-23-ODU-1(RTNRF-1),Meewella-CM0154-26G/1283-23-ODU-1(RTNRF-1),Colombo,Colombo,6.880833,6.884444,79.863056,79.858611,Ibattara 2,7.0451070435566345,6.908296,79.91918,401,2060,0.6331055036085173
CM0025,CM0174,Abans_Ind-CM0025-26G/805-23-ODU-1(RTNRF-1),Thursten-CM0174-26G/805-23-ODU-1(RTNRF-1),Colombo,Colombo,6.903611,6.903611,79.851944,79.8575,Ibattara 2,7.142534369310836,6.908296,79.91918,738,2397,0.6140365605139712
CM0460,CM0726,Joseph_Lane-CM0460-26G/674-23-ODU-1(RTNRF-1),Premier_Pacific_Ind-CM0726-26G/674-23-ODU-1(RTNRF-1),Colombo,Colombo,6.893611,6.893889,79.856111,79.857222,Ibattara 2,7.093693232587134,6.908296,79.91918,1153,2812,0.1265781601740849
